Vgs,Iv_final005_25,Iv_final06_25,Iv_final12_25,Iv_final005_55,Iv_final06_55,Iv_final12_55,Iv_final_005_85,Iv_final06_85,Iv_final12_85
0.5,6.548892e-08,4.818659e-06,6.5590384e-06,8.724635e-08,6.858857e-06,9.112462e-06,1.1340151e-07,9.67293e-06,1.3979621e-05
0.6,6.610268e-08,5.1631296e-06,7.2573307e-06,8.872563e-08,7.3055944e-06,1.0043618e-05,1.1477993e-07,1.0088146e-05,1.4946847e-05
0.7,6.663916e-08,5.4703146e-06,7.923624e-06,9.0048275e-08,7.701676e-06,1.0927368e-05,1.16022136e-07,1.0448213e-05,1.583355e-05
0.8,6.712883e-08,5.740425e-06,8.548999e-06,9.124937e-08,8.048669e-06,1.1753496e-05,1.1715939e-07,1.0758191e-05,1.6638627e-05
0.9,6.759374e-08,5.975055e-06,9.127432e-06,9.2355585e-08,8.3496825e-06,1.251571e-05,1.18214814e-07,1.102358e-05,1.7363962e-05
1.0,6.804849e-08,6.17675e-06,9.655666e-06,9.338699e-08,8.608688e-06,1.3211036e-05,1.1920695e-07,1.1249894e-05,1.8013301e-05
1.1,6.850285e-08,6.348644e-06,1.0132682e-05,9.435788e-08,8.830103e-06,1.3839349e-05,1.2014817e-07,1.14423965e-05,1.859182e-05
1.2,6.8961974e-08,6.4940373e-06,1.0559376e-05,9.527922e-08,9.018492e-06,1.4402701e-05,1.2104843e-07,1.1605895e-05,1.9105586e-05
1.3,6.942845e-08,6.6162797e-06,1.0937967e-05,9.6158224e-08,9.178201e-06,1.490455e-05,1.2191407e-07,1.174484e-05,1.9560757e-05
1.4,6.990269e-08,6.718531e-06,1.1271555e-05,9.699933e-08,9.313305e-06,1.5349418e-05,1.2275059e-07,1.18630105e-05,1.9963676e-05
1.5,7.038371e-08,6.8037734e-06,1.1563832e-05,9.7805895e-08,9.427525e-06,1.5742336e-05,1.2356028e-07,1.196386e-05,2.0320362e-05
1.6,7.08693e-08,6.8746367e-06,1.1818821e-05,9.857933e-08,9.524157e-06,1.6088437e-05,1.2434582e-07,1.20502755e-05,2.06366e-05
1.7,7.1357135e-08,6.9334906e-06,1.2040542e-05,9.932071e-08,9.606125e-06,1.6392974e-05,1.2510833e-07,1.21247695e-05,2.0917483e-05
1.8,7.184408e-08,6.9823755e-06,1.2232893e-05,1.0003042e-07,9.675904e-06,1.6660857e-05,1.2584788e-07,1.218948e-05,2.1167789e-05
