Vgs,Iv_final005_25,Iv_final06_25,Iv_final12_25,Iv_final005_55,Iv_final06_55,Iv_final12_55,Iv_final_005_85,Iv_final06_85,Iv_final12_85
1.2,1.2040225e-07,7.738727e-06,9.829789e-06,1.4402289e-07,1.0098263e-05,1.2589541e-05,1.714022e-07,1.3119465e-05,1.6805594e-05
1.3,1.2245256e-07,8.551656e-06,1.135317e-05,1.4837785e-07,1.1089217e-05,1.4402811e-05,1.769993e-07,1.4236345e-05,1.8894596e-05
1.4,1.2412117e-07,9.327335e-06,1.2927387e-05,1.5220029e-07,1.2022681e-05,1.6261574e-05,1.8199336e-07,1.5276566e-05,2.1005491e-05
1.5,1.2548941e-07,1.005993e-05,1.4529495e-05,1.5556664e-07,1.2892957e-05,1.8141262e-05,1.8645605e-07,1.6236472e-05,2.3114979e-05
1.6,1.2662431e-07,1.07466685e-05,1.6137921e-05,1.585439e-07,1.3698559e-05,2.0019428e-05,1.9045183e-07,1.7116638e-05,2.5202851e-05
1.7,1.275797e-07,1.1386814e-05,1.7733251e-05,1.6119027e-07,1.4440782e-05,2.1876327e-05,1.9404027e-07,1.7920427e-05,2.7251952e-05
1.8,1.2839897e-07,1.1981198e-05,1.9298854e-05,1.6355455e-07,1.5122949e-05,2.369544e-05,1.9727328e-07,1.8653058e-05,2.92484e-05
1.9,1.2911656e-07,1.2531619e-05,2.0821017e-05,1.6567914e-07,1.5749285e-05,2.5463221e-05,2.0019715e-07,1.9320798e-05,3.1181327e-05
2.0,1.297595e-07,1.30403205e-05,2.2289078e-05,1.6759951e-07,1.6324633e-05,2.7169435e-05,2.0285162e-07,1.9930081e-05,3.304269e-05
2.1,1.3034966e-07,1.35099535e-05,2.3694998e-05,1.6934547e-07,1.6853674e-05,2.8806455e-05,2.0527247e-07,2.0487305e-05,3.482695e-05
2.2,1.3090255e-07,1.3943154e-05,2.5033547e-05,1.7094307e-07,1.7340928e-05,3.0369198e-05,2.0748904e-07,2.0998366e-05,3.6530688e-05
2.3,1.3143224e-07,1.4342592e-05,2.6301414e-05,1.7241275e-07,1.7790644e-05,3.1854794e-05,2.095279e-07,2.1468628e-05,3.81522e-05
2.4,1.3194756e-07,1.4710804e-05,2.749727e-05,1.7377332e-07,1.820651e-05,3.3262037e-05,2.1141264e-07,2.1902764e-05,3.9691207e-05
2.5,1.3245588e-07,1.5050264e-05,2.862111e-05,1.7504003e-07,1.8591882e-05,3.459117e-05,2.1316214e-07,2.230499e-05,4.1148647e-05
2.6,1.3296251e-07,1.536321e-05,2.967418e-05,1.7622597e-07,1.8949693e-05,3.5843503e-05,2.1479379e-07,2.267879e-05,4.2526182e-05
2.7,1.3347137e-07,1.565182e-05,3.0658663e-05,1.7734205e-07,1.9282545e-05,3.7021196e-05,2.1632174e-07,2.3027258e-05,4.382628e-05
2.8,1.3398468e-07,1.5918054e-05,3.1577256e-05,1.7839761e-07,1.9592719e-05,3.8127077e-05,2.1775894e-07,2.3352959e-05,4.5051813e-05
2.9,1.3450455e-07,1.616381e-05,3.2433047e-05,1.7940054e-07,1.9882216e-05,3.916442e-05,2.191164e-07,2.3658162e-05,4.6205972e-05
